iter	Passed	Remaining
530	11778	10402
531	11796	10377
532	11812	10349
533	11830	10324
534	11846	10296
535	11868	10274
536	11889	10250
537	11905	10223
538	11922	10196
539	11939	10171
540	11956	10144
541	11979	10122
542	11999	10098
543	12018	10074
544	12035	10048
545	12054	10023
546	12078	10003
547	12099	9979
548	12120	9956
549	12137	9930
550	12153	9904
551	12176	9882
552	12193	9856
553	12209	9829
554	12227	9803
555	12244	9777
556	12264	9754
557	12285	9731
558	12301	9704
559	12320	9680
560	12337	9654
561	12356	9629
562	12375	9605
563	12391	9579
564	12407	9552
565	12429	9530
566	12448	9506
567	12472	9486
568	12494	9464
569	12514	9441
570	12531	9414
571	12549	9389
572	12569	9366
573	12589	9343
574	12607	9318
575	12623	9292
576	12640	9266
577	12658	9242
578	12679	9219
579	12697	9194
580	12713	9168
581	12733	9145
582	12752	9121
583	12779	9103
584	12799	9079
585	12821	9058
586	12836	9031
587	12855	9007
588	12872	8982
589	12893	8959
590	12910	8934
591	12927	8909
592	12946	8885
593	12964	8861
594	12991	8842
595	13005	8815
596	13025	8792
597	13046	8770
598	13069	8749
599	13093	8728
600	13113	8705
601	13133	8682
602	13151	8658
603	13174	8637
604	13195	8615
605	13213	8591
606	13230	8565
607	13247	8541
608	13268	8518
609	13292	8498
610	13311	8474
611	13330	8451
612	13347	8426
613	13366	8403
614	13388	8381
615	13407	8358
616	13426	8334
617	13446	8311
618	13463	8286
619	13485	8265
620	13503	8241
621	13522	8217
622	13540	8193
623	13559	8170
624	13581	8148
625	13599	8124
626	13615	8099
627	13634	8076
628	13655	8054
629	13675	8031
630	13696	8009
631	13713	7985
632	13731	7961
633	13750	7938
634	13772	7916
635	13791	7893
636	13808	7868
637	13826	7844
638	13847	7822
639	13864	7798
640	13886	7777
641	13904	7753
642	13921	7729
643	13939	7705
644	13958	7682
645	13980	7661
646	14000	7638
647	14019	7615
648	14037	7592
649	14058	7570
650	14082	7549
651	14100	7526
652	14120	7503
653	14137	7479
654	14167	7462
655	14185	7438
656	14202	7414
657	14220	7391
658	14241	7369
659	14264	7348
660	14284	7325
661	14303	7303
662	14325	7281
663	14342	7257
664	14362	7235
665	14383	7213
666	14402	7190
667	14422	7168
668	14442	7145
669	14464	7124
670	14485	7102
671	14504	7079
672	14526	7058
673	14544	7035
674	14567	7013
675	14584	6990
676	14601	6966
677	14622	6944
678	14641	6921
679	14663	6900
680	14682	6877
681	14705	6856
682	14724	6834
683	14743	6811
684	14763	6789
685	14782	6766
686	14800	6743
687	14817	6719
688	14835	6696
689	14855	6674
690	14876	6652
691	14894	6629
692	14913	6606
693	14930	6583
694	14947	6559
695	14972	6539
696	14991	6517
697	15008	6493
698	15028	6471
699	15047	6448
700	15066	6426
701	15087	6404
702	15104	6381
703	15122	6358
704	15140	6335
705	15161	6313
706	15179	6290
707	15196	6267
708	15212	6243
709	15231	6221
710	15250	6198
711	15273	6178
712	15291	6155
713	15311	6133
714	15327	6109
715	15345	6086
716	15370	6066
717	15389	6044
718	15407	6021
719	15429	6000
720	15449	5978
721	15469	5956
722	15486	5933
723	15502	5909
724	15518	5886
725	15536	5863
726	15560	5843
727	15577	5820
728	15596	5797
729	15615	5775
730	15633	5753
731	15652	5730
732	15673	5709
733	15690	5686
734	15707	5663
735	15727	5641
736	15745	5618
737	15766	5597
738	15784	5574
739	15803	5552
740	15820	5529
741	15838	5507
742	15862	5486
743	15880	5464
744	15897	5441
745	15914	5418
746	15933	5396
747	15956	5375
748	15976	5353
749	15995	5331
750	16015	5310
751	16036	5288
752	16063	5269
753	16080	5246
754	16098	5223
755	16115	5201
756	16134	5179
757	16157	5158
758	16177	5136
759	16196	5114
760	16214	5092
761	16234	5070
762	16256	5049
763	16275	5027
764	16295	5005
765	16313	4983
766	16330	4960
767	16353	4939
768	16373	4918
769	16393	4896
770	16411	4874
771	16431	4852
772	16458	4833
773	16478	4811
774	16496	4789
775	16512	4766
776	16531	4744
777	16551	4722
778	16574	4702
779	16592	4680
780	16612	4658
781	16635	4637
782	16651	4614
783	16672	4593
784	16689	4571
785	16706	4548
786	16726	4526
787	16746	4505
788	16767	4484
789	16787	4462
790	16806	4440
791	16826	4419
792	16847	4397
793	16869	4376
794	16886	4354
795	16904	4332
796	16921	4310
797	16940	4288
798	16962	4267
799	16982	4245
800	17000	4223
801	17020	4202
802	17041	4180
803	17065	4160
804	17082	4137
805	17101	4116
806	17119	4094
807	17137	4072
808	17161	4051
809	17178	4029
810	17196	4007
811	17217	3986
812	17235	3964
813	17252	3942
814	17272	3920
815	17290	3898
816	17312	3877
817	17329	3855
818	17344	3833
819	17367	3812
820	17384	3790
821	17403	3768
822	17420	3746
823	17438	3724
824	17463	3704
825	17480	3682
826	17499	3660
827	17517	3639
828	17537	3617
829	17561	3596
830	17579	3575
831	17596	3553
832	17614	3531
833	17636	3510
834	17660	3489
835	17680	3468
836	17699	3446
837	17717	3425
838	17734	3403
839	17754	3381
840	17774	3360
841	17793	3338
842	17813	3317
843	17832	3296
844	17855	3275
845	17874	3253
846	17894	3232
847	17912	3210
848	17932	3189
849	17959	3169
850	17977	3147
851	17997	3126
852	18018	3105
853	18042	3084
854	18061	3062
855	18080	3041
856	18098	3019
857	18117	2998
858	18135	2976
859	18156	2955
860	18174	2934
861	18191	2912
862	18209	2890
863	18228	2869
864	18251	2848
865	18268	2826
866	18289	2805
867	18307	2784
868	18325	2762
869	18348	2741
870	18366	2720
871	18385	2698
872	18405	2677
873	18422	2655
874	18442	2634
875	18461	2613
876	18481	2592
877	18501	2570
878	18519	2549
879	18540	2528
880	18557	2506
881	18574	2485
882	18592	2463
883	18610	2442
884	18629	2420
885	18652	2400
886	18671	2378
887	18688	2357
888	18705	2335
889	18723	2314
890	18746	2293
891	18762	2271
892	18780	2250
893	18799	2229
894	18817	2207
895	18840	2186
896	18857	2165
897	18876	2144
898	18894	2122
899	18912	2101
900	18928	2079
901	18945	2058
902	18966	2037
903	18987	2016
904	19006	1995
905	19025	1973
906	19048	1953
907	19069	1932
908	19090	1911
909	19102	1889
910	19119	1867
911	19141	1847
912	19159	1825
913	19177	1804
914	19195	1783
915	19213	1761
916	19234	1740
917	19253	1719
918	19272	1698
919	19288	1677
920	19307	1656
921	19325	1634
922	19351	1614
923	19369	1593
924	19387	1571
925	19405	1550
926	19421	1529
927	19443	1508
928	19462	1487
929	19481	1466
930	19499	1445
931	19516	1423
932	19532	1402
933	19555	1381
934	19578	1361
935	19597	1339
936	19614	1318
937	19631	1297
938	19656	1276
939	19674	1255
940	19693	1234
941	19713	1213
942	19733	1192
943	19753	1171
944	19771	1150
945	19789	1129
946	19807	1108
947	19827	1087
948	19851	1066
949	19868	1045
950	19885	1024
951	19905	1003
952	19924	982
953	19948	961
954	19970	941
955	19990	920
956	20008	899
957	20028	878
958	20046	857
959	20068	836
960	20087	815
961	20105	794
962	20124	773
963	20144	752
964	20161	731
965	20185	710
966	20204	689
967	20226	668
968	20251	647
969	20270	626
970	20289	605
971	20307	585
972	20325	564
973	20351	543
974	20370	522
975	20388	501
976	20405	480
977	20422	459
978	20443	438
979	20464	417
980	20482	396
981	20500	375
982	20520	354
983	20542	334
984	20559	313
985	20577	292
986	20599	271
987	20617	250
988	20637	229
989	20657	208
990	20675	187
991	20692	166
992	20713	146
993	20733	125
994	20753	104
995	20772	83
996	20790	62
997	20810	41
998	20828	20
999	20848	0
